Date,Lon,Lat,Temperature
22/02/1992,-5.98,52.96,8.1
22/02/1992,-5.99,52.92,8.4
22/02/1992,-6.01,52.9,8.3
22/02/1992,-6.05,52.85,7.8
22/02/1992,-6.09,52.82,7.7
22/02/1992,-6.11,52.8,7.6
22/02/1992,-6.12,52.8,7.6
22/02/1992,-6.14,52.79,7.6
06/06/1993,-5.45,53.68,12.57
07/06/1993,-6.14,52.02,10.82
07/06/1993,-6.89,52,13.45
08/06/1993,-6.99,52.27,13.46
21/02/2007,-9.38,51.51,8.72
26/06/2007,-9.38,51.51,15.73
26/06/2007,-9.38,51.51,14.69
14/08/2007,-9.38,51.51,14.86
14/08/2007,-9.38,51.51,14.82
18/09/2007,-9.38,51.51,15.22
18/09/2007,-9.38,51.51,15.39
21/02/2007,-9.34,51.52,8.12
21/02/2007,-9.34,51.52,9.3
22/02/2007,-8.72,51.64,8.8
22/02/2007,-8.72,51.64,9.94
25/06/2007,-8.72,51.64,15.66
25/06/2007,-8.72,51.64,15.55
13/08/2007,-8.72,51.64,15.09
13/08/2007,-8.72,51.64,16.51
17/09/2007,-8.72,51.64,15.1
17/09/2007,-8.72,51.64,15.14
22/02/2007,-8.74,51.64,9.25
25/06/2007,-8.74,51.64,15.89
13/08/2007,-8.74,51.64,14.9
17/09/2007,-8.74,51.64,15.32
22/02/2007,-8.75,51.65,9.01
22/02/2007,-8.75,51.65,10.53
25/06/2007,-8.75,51.65,16.44
13/08/2007,-8.75,51.65,14.83
13/08/2007,-8.75,51.65,16.17
17/09/2007,-8.75,51.65,15.39
12/07/2007,-8.51,51.67,13.13
22/08/2007,-8.51,51.67,14.55
01/03/2007,-8.51,51.67,9.33
12/07/2007,-8.51,51.67,13.41
22/08/2007,-8.51,51.67,14.74
01/03/2007,-8.5,51.69,9.45
14/06/2007,-8.5,51.69,16.49
22/08/2007,-8.5,51.69,14.44
01/03/2007,-8.53,51.69,8.87
12/07/2007,-8.53,51.69,15.57
22/08/2007,-8.53,51.69,14.46
01/03/2007,-8.58,51.7,8.85
14/06/2007,-8.58,51.7,17.99
12/07/2007,-8.58,51.7,16.07
22/08/2007,-8.58,51.7,14.8
01/03/2007,-8.51,51.7,9.06
14/06/2007,-8.51,51.7,17.32
12/07/2007,-8.51,51.7,13.96
22/08/2007,-8.51,51.7,15.66
01/03/2007,-8.55,51.7,8.79
14/06/2007,-8.55,51.7,17.08
12/07/2007,-8.55,51.7,15.25
22/08/2007,-8.55,51.7,14.45
01/03/2007,-8.61,51.72,8.09
