Date,Longitude [degrees_east],Latitude [degrees_north],Temperature [degC]
1992-02-21,-6.0697,53.6947,8.1
1992-02-21,-6.0423,53.6395,7.9
1992-02-21,-6.0255,53.5877,8.2
1992-02-21,-6.0557,53.5178,8.4
1992-02-21,-6.069,53.4677,7.8
1992-02-21,-6.0687,53.4453,7.6
1992-02-21,-6.0678,53.4335,7.8
1992-02-21,-6.0627,53.4168,7.8
1992-02-21,-6.0553,53.4062,7.8
1992-02-21,-6.0475,53.4008,7.7
1992-02-21,-6.045,53.4092,7.8
1992-02-21,-6.0435,53.3865,7.7
1992-02-21,-6.0408,53.3833,7.8
1992-02-21,-6.0468,53.3648,7.8
1992-02-21,-6.0678,53.3512,7.9
1992-02-21,-6.089,53.3478,7.9
1992-02-21,-6.0958,53.3463,7.9
1992-02-21,-6.1142,53.3418,8.0
1992-02-21,-6.1313,53.343,8.0
1992-02-21,-6.143,53.33,7.9
1992-02-21,-6.1903,53.3432,7.8
1992-02-21,-6.17,53.3432,8.0
1992-02-22,-6.0498,53.338,8.0
1992-02-22,-6.0707,53.3188,8.0
1992-02-22,-6.0973,53.2957,7.9
1992-02-22,-6.085,53.2887,7.9
1992-02-22,-6.0678,53.2797,7.9
1992-02-22,-6.0673,53.264,7.8
1992-02-22,-6.0865,53.2473,7.9
1992-02-22,-6.0873,53.2388,7.9
1992-02-22,-6.0868,53.2327,8.0
1992-02-22,-6.0838,53.2178,8.0
1992-02-22,-6.0573,53.1808,8.2
1992-02-22,-6.0433,53.155,8.2
1992-02-22,-6.0147,53.119,8.2
1992-02-22,-6.0148,53.0842,8.1
1992-02-22,-6.0197,53.0462,8.1
1992-02-22,-6.0268,53.02,8.0
1992-02-22,-6.0285,53.0012,8.0
1992-02-22,-6.0192,52.986,8.0
1992-02-22,-5.9905,52.9705,8.0
1992-02-22,-5.9765,52.9577,8.1
1992-02-22,-5.994,52.923,8.4
1992-02-22,-6.0093,52.896,8.3
1992-02-22,-6.051,52.847,7.8
1992-02-22,-6.0865,52.8223,7.7
